"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Bijan Robinson","RB","ATL",304,19,2.1,282,334,172,178,172,1,2,1,1,"1",3.33,59.9,10
"Saquon Barkley","RB","PHI",302,13.2,9.96,284,324,170,180,162,2,1,2,2,"1",4.95,55.8,1
"Jahmyr Gibbs","RB","DET",292,12.1,26.2,274,307,160,170,144,3,3,4,3,"2",6.21,53.3,1
"Derrick Henry","RB","BAL",266,18.8,1.88,240,294,133,136,131,4,4,5,4,"3",10.3,47.9,13
"Ja'Marr Chase","WR","CIN",299,22.3,36.2,273,329,132,134,129,5,6,6,1,"1",3.05,61.2,10
"Christian McCaffrey","RB","SF",264,25.3,8.34,240,312,131,136,149,6,5,3,5,"3",9.8,56.4,44
"Devon Achane","RB","MIA",256,15.9,2.3,234,275,123,129,113,7,7,8,6,"3",19.6,36,8
"Josh Jacobs","RB","GB",253,18.1,5.1,230,280,121,126,118,8,8,7,7,"3",18.1,37.9,14
"Ashton Jeanty","RB","LVR",248,20.5,3.41,210,274,116,106,111,9,12,9,8,"4",11.6,50,21
"Jonathan Taylor","RB","IND",245,16.8,2.06,224,268,112,119,105,10,9,11,9,"4",16.4,44.9,11
"Bucky Irving","RB","TB",243,18.7,0.766,216,265,110,112,103,11,11,13,10,"4",34.8,27.8,20
"Kyren Williams","RB","LAR",242,14.5,3.36,222,260,109,118,97.3,12,10,15,11,"4",21,36.6,7
"Chase Brown","RB","CIN",239,22.3,16,200,267,106,95.5,105,13,15,12,12,"5",36.6,28.9,32
"Justin Jefferson","WR","MIN",262,24.7,5.15,234,311,96.2,94.9,111,14,16,10,2,"1",7.14,55.8,22
"CeeDee Lamb","WR","DAL",257,13.5,9.65,237,276,91.1,98.5,77,15,13,22,3,"1",7.06,56.8,1
"James Cook","RB","BUF",223,20.7,7.46,202,251,90.1,97.6,88.6,16,14,16,13,"5",29.8,26.7,28
"Josh Allen","QB","BUF",385,19.5,4.78,354,408,88.3,76.6,82.8,17,27,19,1,"1",18.1,35.9,6
"Brock Bowers","TE","LVR",204,8.4,7.44,194,215,85.7,86.2,72.3,18,19,28,1,"1",39.6,24.7,3
"Lamar Jackson","QB","BAL",380,18.1,13.3,357,408,83.5,78.8,83,19,25,18,2,"1",19.9,31.1,9
"Alvin Kamara","RB","NO",215,17,5.42,195,243,82.7,90.9,80.9,20,17,20,14,"6",40.4,25.2,15
"Malik Nabers","WR","NYG",248,27.2,1.92,223,298,81.4,84.5,98.5,21,20,14,4,"1",20.1,36.5,46
"Puka Nacua","WR","LAR",246,19.2,1.98,223,274,79.5,84.4,74.3,22,21,27,5,"2",16.2,43.2,17
"Trey McBride","TE","ARI",196,7.07,6.8,188,206,78.3,80.2,63.3,23,24,35,2,"1",38.5,24.4,1
"Amon-Ra St. Brown","WR","DET",244,17.1,5.05,222,264,77.5,83.2,64.7,24,22,33,6,"2",13.7,51,7
"Breece Hall","RB","NYJ",210,20.9,0.0771,191,247,77.3,86.8,84.8,25,18,17,15,"6",35.6,32.9,35
"Chuba Hubbard","RB","CAR",210,19.9,2.3,183,239,77.2,78.7,76.8,26,26,23,16,"6",56,17.8,31
"James Conner","RB","ARI",207,18.1,1.98,180,231,74.9,75.4,68.7,27,28,32,17,"6",47.3,21.4,17
"Omarion Hampton","RB","LAC",205,26.5,3.93,168,238,72.9,64.2,75.3,28,36,24,18,"6",37.4,31.3,54
"Brian Thomas Jr.","WR","JAC",239,22.5,1.2,205,271,72.5,66,72.2,29,31,29,7,"2",31.6,29.4,25
"George Kittle","TE","SF",190,14.9,28.9,173,213,71.5,64.6,69.9,30,34,31,3,"2",42,20.1,23
"Nico Collins","WR","HOU",237,15.6,10.2,219,263,71.3,80.4,63.4,31,23,34,8,"2",18,38.7,4
"Jayden Daniels","QB","WAS",367,21.3,7.21,343,396,70.2,65.3,71.4,32,33,30,3,"2",36.5,21.4,11
"Kenneth Walker III","RB","SEA",201,16.8,1.87,169,216,69,64.5,53.8,33,35,36,19,"6",41,22.3,18
"TreVeyon Henderson","RB","NE",200,24.5,7.73,170,240,67.1,65.4,77.6,34,32,21,20,"7",48.3,25.9,52
"Jalen Hurts","QB","PHI",359,11,8.62,346,377,63,68.5,51.9,35,29,37,4,"2",30.3,27,1
"Drake London","WR","ATL",227,23.8,5.92,205,274,61.1,66.4,75,36,30,26,9,"3",24.1,35.4,39
"D'Andre Swift","RB","CHI",192,25.9,6.85,163,237,59.4,58.5,75.2,37,39,25,21,"7",59.7,15.9,58
"A.J. Brown","WR","PHI",221,14.9,3.74,198,241,55.2,59.1,41.8,38,38,43,10,"3",21.5,40.9,1
"Joe Burrow","QB","CIN",351,17.4,22,325,370,54.4,47.1,45.1,39,48,40,5,"3",32.4,22.9,3
"Tony Pollard","RB","TEN",185,18.5,2.93,152,208,52.5,47.7,46.2,40,47,38,22,"7",72.8,13.1,24
"Ladd McConkey","WR","LAC",218,17,1.24,197,244,51.4,58.1,45.2,41,40,39,11,"3",44.2,22.2,6
"Tyreek Hill","WR","MIA",216,12,7.98,201,238,50.2,62.2,38.3,42,37,46,12,"3",31.2,42.2,14
"Aaron Jones","RB","MIN",182,11.5,4.08,159,191,49.6,55,28.7,43,42,53,23,"7",65.8,13.6,3
"David Montgomery","RB","DET",178,12.1,0.186,160,194,45.5,55.9,31.6,44,41,50,24,"7",59.5,14.3,6
"RJ Harvey","RB","DEN",178,16.9,4.55,157,204,45.3,52.6,42.1,45,44,42,25,"8",64,17.7,30
"Sam LaPorta","TE","DET",161,9.01,13,148,173,42.6,39.8,30,46,54,52,4,"3",54.6,15,9
"Tee Higgins","WR","CIN",208,20.9,0.304,173,232,42.2,34.6,32.3,47,58,49,13,"3",38.5,23.2,40
"Jaxon Smith-Njigba","WR","SEA",208,18.3,0.922,184,238,41.9,45.2,38.7,48,49,45,14,"4",51.2,18.6,28
"Mike Evans","WR","TB",207,13.1,0.131,193,225,41,54.5,25.9,49,43,54,15,"4",36.8,27.9,8
"Terry McLaurin","WR","WAS",207,17.6,2.08,188,234,40.9,49.2,34.9,50,45,48,16,"4",47.8,17.8,44
"Tyrone Tracy","RB","NYG",173,18.7,6.55,146,200,40.8,41.5,38.2,51,52,47,26,"8",85.3,9.18,27
"Davante Adams","WR","LAR",205,22.4,7.67,182,239,38.8,42.9,39.4,52,50,44,17,"4",38.5,29.3,47
"Isiah Pacheco","RB","KC",167,22.6,12.4,129,193,34.2,24.8,30.3,53,63,51,27,"9",66,16.2,42
"Patrick Mahomes","QB","KC",329,14.7,5.96,309,350,32.4,31.5,25.1,54,61,55,6,"4",43.2,19.8,14
"Marvin Harrison Jr.","WR","ARI",197,14.7,1.99,174,219,31.1,35.6,19.9,55,57,63,18,"4",40.9,26.3,24
"Mark Andrews","TE","BAL",148,7.9,3.39,136,158,29.6,28.6,15.1,56,62,72,5,"4",72.4,9.47,11
"DK Metcalf","WR","PIT",195,5.28,0.844,188,203,29.1,48.9,3.29,57,46,108,19,"4",49.1,19.6,3
"Garrett Wilson","WR","NYJ",194,12.5,1.78,180,218,28.3,41.6,18.4,58,51,66,20,"4",42.8,28.3,12
"Courtland Sutton","WR","DEN",193,15.4,0.0135,179,218,26.5,39.9,18.7,59,53,65,21,"4",64.2,17,26
"D.J. Moore","WR","CHI",193,15.2,3.13,177,219,26.5,37.8,20.1,60,55,62,22,"4",53.1,17.5,36
"Baker Mayfield","QB","TB",323,17.9,3.3,299,344,26.4,20.9,18.7,61,68,64,7,"4",65.7,10.6,29
"Travis Kelce","TE","KC",144,16.4,1.44,121,164,26.2,12.8,21.2,62,82,61,6,"4",62.1,18.5,43
"T.J. Hockenson","TE","MIN",143,10.1,5.14,129,157,24.8,21.2,14.1,63,67,73,7,"4",72.2,10.5,17
"Zay Flowers","WR","BAL",190,14.8,0.655,163,207,23.4,23.8,7.98,64,64,87,23,"5",68.3,9.45,31
"Kyler Murray","QB","ARI",319,19.2,3.63,296,348,23.1,18.1,23.3,65,70,56,8,"4",79.4,8.91,49
"Xavier Worthy","WR","KC",189,19,1.76,160,213,22.7,21.2,13.6,66,66,75,24,"5",63.6,10.8,56
"Kaleb Johnson","RB","PIT",154,22.3,0.843,120,185,21.8,16.1,22.5,67,74,57,28,"9",82.5,10.1,63
"Jaylen Warren","RB","PIT",153,19.7,7.16,127,179,20.9,22.4,17.1,69,65,67,29,"9",94.6,6.71,37
"DeVonta Smith","WR","PHI",187,14.1,1.49,171,208,20.9,32.7,9.09,68,60,84,25,"5",60.3,14.1,21
"David Njoku","TE","CLE",138,9.89,5.39,121,147,19.6,13,4.67,70,81,97,8,"5",93.4,5.98,26
"Bo Nix","QB","DEN",316,16.5,6.31,290,337,19.5,12.1,12.4,71,84,78,9,"5",75.7,8.77,26
"Jameson Williams","WR","DET",186,11.7,0.194,174,206,19.5,35.6,7.2,72,56,91,26,"5",70.3,9.57,15
"Calvin Ridley","WR","TEN",185,15.4,2.19,172,212,19.3,33.1,12.2,73,59,79,27,"5",70.3,12.8,35
"Brian Branch","DB","DET",107,8.2,3.58,102,113,17.8,17.9,15.1,74,71,71,1,"1",NA,9.38,18
"Tetairoa McMillan","WR","CAR",183,18.3,0.623,152,211,17.1,13.3,12.1,75,80,80,28,"5",69.4,14.8,57
"Brandon Aubrey","K","DAL",164,13.8,14.1,138,179,16.9,0,21.3,76,130,60,1,"1",107,4.08,29
"Jerry Jeudy","WR","CLE",183,19.2,7.2,155,215,16.5,16.6,16.1,77,72,69,29,"5",87.5,8.86,49
"Tyler Warren","TE","IND",132,15.6,4.44,115,165,14.3,6.77,21.9,78,98,59,9,"5",101,8.8,51
"Kerby Joseph","DB","DET",104,8.84,0.657,98.1,110,14.2,13.9,12,79,77,81,2,"1",NA,18.8,61
"Austin Ekeler","RB","WAS",146,14.8,10,118,162,13.8,13.8,-0.442,80,79,137,30,"10",111,6.77,41
"Jessie Bates","DB","ATL",103,4.17,2.58,100,106,13.6,16.2,7.95,81,73,88,3,"1",NA,16.6,12
"Brock Purdy","QB","SF",310,11.8,9.27,292,327,13.2,14.1,2.27,82,76,115,10,"5",91.5,6.41,66
"Zack Baun","LB","PHI",101,9.12,1.36,95.1,108,11.7,7.87,16.7,83,97,68,1,"1",NA,15.8,38
"Maxx Crosby","DL","LVR",53.9,3.25,1.22,51.5,56,11,11.4,10.1,85,86,82,1,"1",NA,17,12
"Julian Love","DB","SEA",101,0.849,0.545,100,101,11,15.7,2.93,84,75,111,4,"1",NA,7.13,1
"Kyle Hamilton","DB","BAL",100,4.6,1.91,97.1,103,10.5,12.8,5.14,86,83,95,5,"1",NA,24.1,11
"Zaire Franklin","LB","IND",99.6,2.12,2.26,98.1,101,10.4,10.8,10,87,88,83,2,"1",NA,17.9,2
"Evan Engram","TE","DEN",128,14,0.976,109,147,9.81,0.701,4.22,88,121,103,10,"5",100,7.86,37
"Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.78,11.9,7.51,89,85,89,2,"2",NA,9.98,3
"Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.78,11.9,7.51,89,85,89,2,"2",NA,9.98,46
"George Pickens","WR","DAL",175,10.5,1.21,159,191,9.25,20.6,-8.29,90,69,203,30,"5",70,11.3,19
"Tucker Kraft","TE","GB",127,14.2,8.71,101,147,8.84,-7.05,4.62,91,184,98,11,"6",111,3.79,31
"Julian Blackmon","DB","NO",98.1,NA,0.0388,NA,NA,8.54,NA,NA,92,NA,NA,6,"1",NA,7.7,84
"Reed Blankenship","DB","PHI",98.1,6.51,2.16,93.9,103,8.5,9.63,4.59,93,92,99,7,"2",NA,10.7,23
"Fred Warner","LB","SF",97.4,0.99,2.22,96.6,98,8.11,9.36,7.02,94,94,92,3,"1",NA,17.9,1
"Travis Hunter","WR","JAC",174,23.1,2.23,150,213,8.04,11.4,13.2,95,87,77,31,"5",77.6,11,62
"Travis Hunter","WR","JAC",174,23.1,2.23,150,213,8.04,11.4,13.2,95,87,77,31,"5",77.6,11,96
"Budda Baker","DB","ARI",95.9,2.9,5.3,94,98,6.34,9.78,-0.221,96,91,135,8,"3",NA,9.96,2
"Robert Spillane","LB","NE",95.1,3.25,0.762,93,97.5,5.89,5.78,6.55,97,102,93,4,"1",NA,11,26
"Deebo Samuel","WR","WAS",172,18.5,3.17,153,204,5.81,13.8,4.51,98,78,100,32,"6",80.9,13.9,51
"Foyesade Oluokun","LB","JAC",94.4,6.36,3.2,90.3,99,5.13,3.03,8.08,99,108,86,5,"2",NA,35.5,40
"Nik Bonitto","DL","DEN",47,4.88,0.655,43.9,50.6,4.12,3.81,4.71,100,104,96,3,"2",NA,6.17,33
